D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},U_{UT_{1}},Y_{UT_{1}},W_{UT_{1}},G_{t_{UT_{2}}},U_{UT_{2}},Y_{UT_{2}},W_{UT_{2}},G_{t_{UT_{3}}},U_{UT_{3}},Y_{UT_{3}},W_{UT_{3}},G_{t_{UT_{4}}},U_{UT_{4}},Y_{UT_{4}},W_{UT_{4}},G_{t_{UT_{5}}},U_{UT_{5}},Y_{UT_{5}},W_{UT_{5}},G_{t_{UT_{6}}},U_{UT_{6}},Y_{UT_{6}},W_{UT_{6}},G_{t_{UT_{7}}},U_{UT_{7}},Y_{UT_{7}},W_{UT_{7}},G_{t_{UT_{8}}},U_{UT_{8}},Y_{UT_{8}},W_{UT_{8}},G_{t_{UT_{9}}},U_{UT_{9}},Y_{UT_{9}},W_{UT_{9}},G_{t_{UT_{10}}},U_{UT_{10}},Y_{UT_{10}},W_{UT_{10}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},\Theta_{{CB}_{BAR_{1}}},\Theta_{{CB}_{BAR_{2}}},F_{{LT}_{LINE_{1}}},\Delta_{\Theta_{LT_{LINE_{1}}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},DemandBar_{b_{BAR_{2}}},DeficitBar_{b_{BAR_{2}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{start},Cost_{def},Cost_{t}
0.0,-150.00000149984567,-150.00000149984567,542.5000014352343,1,328.4739212385174,2499.537493883553,285.30989244628364,0.0,331.4382292456946,5001.789328491172,304.6901096027846,0.0,149.99999850015413,1,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.00000106712109,0.0,0.0,-0.20500000079886746,410.0000015977349,0.20500000079886746,700.0000001177483,140.0,0.0,560.0,0.0,700.0,0.0,3439.2999755015176,0.0,0.0,3439.2999755015176
0.0,-150.00000149984555,-150.00000149984555,685.0000028704682,2,377.344032919989,2498.935055365053,330.41817723932934,0.0,338.2874612787874,5003.657932149077,307.58182478486077,0.0,149.99999850015425,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,112.00000109182248,0.0,0.0,-0.2250000007988667,450.0000015977334,0.2250000007988667,750.0000001177467,150.0,0.0,600.0,0.0,750.0,0.0,3439.2999755015194,0.0,0.0,3439.2999755015194
0.0,-128.58398787568305,-128.58398787568305,807.1547913615184,3,532.0932623582536,2497.8115196205827,403.756134277579,0.0,374.458735614916,5005.881416445346,314.82785395471427,0.0,149.99999862316886,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.0000010998464,0.0,0.0,-0.26500000072380653,530.0000014476132,0.26500000072380653,850.0000000907929,170.0,0.0,680.0,0.0,850.0,0.0,3439.2999775326252,0.0,0.0,3439.2999775326252
0.0,-70.06453898662437,-70.06453898662437,873.7161034079636,4,532.1078196055869,2496.723931470022,403.6670833836086,0.0,374.47934648651324,5008.032878948568,314.8830095119996,0.0,196.51444512081375,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,105.00000104984639,0.0,0.0,-0.28174277747499293,563.4855549499858,0.28174277747499293,950.0000000908303,190.0,0.0,760.0,0.0,950.0,0.0,4200.105471555816,0.0,0.0,4200.105471555816
0.0,-65.03171083436952,-65.03171083436952,935.4962287097663,5,532.1228333560531,2495.6722892699586,403.58094995655597,0.0,374.49953055225507,5010.112322838655,314.93631437533844,0.0,246.51444558226086,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,100.00000099984639,0.0,0.0,-0.27674277724426366,553.4855544885273,0.27674277724426366,1000.0000000908112,200.0,0.0,800.0,0.0,1000.0,0.0,5020.238172501527,0.0,0.0,5020.238172501527
0.0,0.0,0.0,935.4962287138628,6,532.1495401792964,2494.656550925332,403.4977775990501,0.0,374.5224907492145,5012.119780216597,314.98777554738865,0.0,296.5144460681826,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.00000084984953,0.0,0.0,-0.29174277699635975,583.4855539927195,0.29174277699635975,1100.0000000828306,220.0,0.0,880.0,0.0,1100.0,0.0,5842.770874013678,0.0,0.0,5842.770874013678
0.0,0.0,0.0,935.4962287200822,7,532.1603790883288,2493.676773560633,403.41746275850414,0.0,374.54037251930737,5014.05521224024,315.0373781882081,0.0,311.5451579348008,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079984802,40.00000039984803,0.0,-0.30422742106538697,608.454842130774,0.30422742106538697,1150.0000000865823,230.0,0.0,920.0,0.0,1150.0,0.0,6090.505092060958,0.0,0.0,6090.505092060958
0.0,0.0,0.0,935.4962287256807,8,532.1780418108324,2492.732932610133,403.34009629319837,0.0,374.5596427248068,5015.918638476943,315.08513487807744,0.0,356.57476765832973,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.00000059984843,65.00000064984843,0.0,-0.3017126162029935,603.425232405987,0.3017126162029935,1200.0000000855705,240.0,0.0,960.0,0.0,1200.0,0.0,6833.975359658732,0.0,0.0,6833.975359658732
0.0,-18.39667670323161,-18.39667670323161,952.9730716029022,9,532.1887010955329,2491.8250532862075,403.26563217088597,0.0,374.5763644420652,5017.71004288889,315.1310391147924,0.0,405.0000040573348,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.0000005498464,90.0000008998464,0.0,-0.2974999980067241,594.9999960134481,0.2974999980067241,1250.000000090793,250.0,0.0,1000.0,0.0,1250.0,0.0,7635.682067287505,0.0,0.0,7635.682067287505
56.63064084152557,0.0,56.63064084152557,893.3618707088267,10,532.248799888889,2490.9529576066266,403.1942355243501,0.0,374.6065978402457,5019.429554816258,315.17511742714856,0.0,455.0000045478838,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.000000499861365,120.00000119986137,0.0,-0.3324999977457217,664.9999954914434,0.3324999977457217,1400.0000000654575,280.0,0.0,1120.0,0.0,1400.0,0.0,8465.822076033057,0.0,0.0,8465.822076033057
141.6570333180028,0.0,141.6570333180028,744.2492040500381,11,532.2665462652753,2490.1167980400905,403.12563027328673,0.0,374.62422649589615,5021.077067167422,315.2173300513408,0.0,455.00000454827097,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,45.00000044986137,140.00000139986136,0.0,-0.3724999977455248,744.9999954910496,0.3724999977455248,1500.0000000654532,300.0,0.0,1200.0,0.0,1500.0,0.0,8465.822076039534,0.0,0.0,8465.822076039534
26.678653139261602,0.0,26.678653139261602,716.166411263609,12,532.2847457567538,2489.316572955385,403.05995683714724,0.0,374.6422731329655,5022.796580068861,315.2613835162287,0.0,455.00000454827097,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,40.000000399861364,160.00000159986135,0.0,-0.3324999977455283,664.9999954910566,0.3324999977455283,1400.0000000654588,280.0,0.0,1120.0,0.0,1400.0,0.0,8465.82207603951,0.0,0.0,8465.82207603951
16.69549898598448,0.0,16.69549898598448,698.592201796419,13,532.3033979028122,2488.5522807229536,402.9972169414267,0.0,374.66073748666525,5024.588093646353,315.307277466089,0.0,455.00000454740854,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,40.000000399861364,170.00000169986137,0.0,-0.3324999977459596,664.9999954919192,0.3324999977459596,1400.0000000654588,280.0,0.0,1120.0,0.0,1400.0,0.0,8465.822076025164,0.0,0.0,8465.822076025164
0.0,-38.2923614908784,-38.2923614908784,734.9699452219048,14,532.2917880264124,2487.8240302860763,402.9373544496232,0.0,374.67089693383826,5026.45152885428,315.35500092842256,0.0,405.0000040526044,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,45.0000004498464,170.0000016998464,0.0,-0.3174999980090845,634.999996018169,0.3174999980090845,1300.0000000907726,260.0,0.0,1040.0,0.0,1300.0,0.0,7635.682067208904,0.0,0.0,7635.682067208904
0.0,-140.0997302840664,-140.0997302840664,868.0646890009193,15,532.3117840086126,2487.167707863663,402.8834614200063,0.0,374.69019675319805,5028.386966568393,315.4045735374288,0.0,355.0000035641446,1,0,0,256.8116897460773,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.000000499846394,160.00000159984637,0.0,-0.25409415337718505,508.18830675437016,0.25409415337718505,1400.000000084608,280.0,0.0,1120.0,0.0,1400.0,0.0,12230.957019594292,5000.0,0.0,17230.957019594294
0.0,-5.033247362920944,-5.033247362920944,872.8462740048456,16,532.3273818693095,2486.151329288951,402.79994505237596,0.0,374.7099134141439,5030.394389454826,315.45598506469537,0.0,394.96562523563927,1,0,0,306.8116902438107,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.0000005498464,130.0000012998464,0.0,-0.289111342292576,578.2226845851519,0.289111342292576,1600.000000084608,320.0,0.0,1280.0,0.0,1600.0,0.0,13764.12356996519,0.0,0.0,13764.12356996519
0.0,0.0,0.0,872.8462740082311,17,532.3502055111563,2485.098868549129,402.7134450569214,0.0,374.7322164067405,5032.473814215595,315.5092371318516,0.0,444.9656257258319,1,0,0,356.81169074269303,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,19.999999800441795,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.00000059985148,100.00000099985148,0.0,-0.26911134188790015,538.2226837758002,0.26911134188790015,1700.0000000690543,340.0,0.0,1360.0,0.0,1700.0,0.0,16285.116094912188,170.0,0.0,16455.116094912188
150.0000014989042,0.0,150.0000014989042,714.9515355794017,18,532.3984160677037,2484.0102342513037,402.62396799009645,0.0,374.76224987893556,5034.6253044138675,315.5643330456891,0.0,455.0000045493293,1,0,0,406.811691241814,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,30.00000029607495,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079987693,60.00000059987694,0.0,-0.31409415196692325,628.1883039338464,0.31409415196692325,1900.0000000476703,380.0,0.0,1520.0,0.0,1900.0,0.0,17552.903556805482,0.0,0.0,17552.903556805482
150.00000149969244,0.0,150.00000149969244,557.05679714941,19,532.4426212801734,2482.8854408147154,402.53145879783983,0.0,374.7916779639292,5036.8488478098,315.62126517931216,0.0,455.00000454973895,1,0,0,455.0000045497114,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079499682,1,0,0,0.0,0,0,0,36.8472635814405,1,1,0,0.0,0,0,0,0.0,0,0,0,85.00000084990445,20.00000019990444,0.0,-0.2865763632632031,573.1527265264062,0.2865763632632031,2000.0000000316659,400.0,0.0,1600.0,0.0,2000.0,0.0,21170.356383646777,30.0,0.0,21200.356383646777
108.17537627610201,0.0,108.17537627610201,443.1879800084119,20,532.4223966761574,2481.7247201866994,402.4359034628922,0.0,374.803396112616,5039.144276211822,315.6800248827634,0.0,455.00000454827097,1,0,0,418.7086898685176,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,100.00000099986137,0.0,0.0,-0.2831456528150888,566.2913056301777,0.2831456528150888,1800.00000006546,360.0,0.0,1440.0,0.0,1800.0,0.0,16717.082322799433,0.0,0.0,16717.082322799433
108.21331087713462,0.0,108.21331087713462,329.2792317084321,21,532.435871999382,2480.5279510475193,402.3373740500453,0.0,374.825191011494,5041.511674663372,315.7406246795131,0.0,0.0,0,0,1,368.7086893730208,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,105.00000104986137,0.0,0.0,-0.3356456553325566,671.2913106651131,0.3356456553325566,1300.0000000654602,260.0,0.0,1040.0,0.0,1300.0,0.0,7376.055269267776,0.0,0.0,7376.055269267776
0.0,-46.7466652736761,-46.7466652736761,373.6885637275757,22,532.4431333378668,2479.2951557675196,402.23583721639307,0.0,374.8455538753036,5043.915025949431,315.8021381512154,0.0,0.0,0,0,0,318.70868887521135,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.0000010998464,0.0,0.0,-0.28064565559246757,561.2913111849352,0.28064565559246757,1100.000000084608,220.0,0.0,880.0,0.0,1100.0,0.0,6502.400290872997,0.0,0.0,6502.400290872997
70.00413838425251,0.0,70.00413838425251,299.9999969990508,23,532.4588047820822,2478.0263040703217,402.1312941113075,0.0,374.8686182982462,5046.354350620767,315.8645664065201,0.0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,112.00000111986137,0.0,0.0,-0.3600000000152501,720.0000000305001,0.3600000000152501,900.0000000654627,180.0,0.0,720.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,299.99999700691944,24,503.09245550126053,2476.827171230523,398.9947015169294,0.0,368.8085542306017,5048.4577726653415,315.7064484929187,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.29885011568906,0.0,0.0,-0.32000000005379486,640.0000001075897,0.32000000005379486,800.0000001210511,160.0,0.0,640.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0
